,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing,Date
0,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,1,0.1974810607295524,0.6006016597510373,0.6005635097767229,0.6006016597510373,0.5993283956259008,0.6010146485036839,0.6013481764818642,0.6010146485036839,0.5996813222081717,0.9824564315352697,0.9824685071158831,0.9824564315352697,0.9824572386480829,0.9817886084405588,0.9818023517570335,0.9817886084405588,0.9817894941910208,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.9860746887966805,0.9860788754902874,0.9860746887966805,0.9860741449399096,0.9838024146310765,0.9838124450624014,0.9838024146310765,0.9838014290785271,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.63450622406639,0.6343762932150218,0.63450622406639,0.6343599174428511,0.6340875424787243,0.6340163637318817,0.6340875424787243,0.6339495838715059,0.0,4.8735318485306304e-05,0.009518154421631179,0.011252283187440346,0.009518154421631179,0.011252283187440346,0.0,0.0,0.004852125076263647,0.0032075055320377466,0.002674482244748533,0.0024436994900903786,0.19647565960648933,0.1998518078673276,0.19517486055370387,0.19799895914486842,0.19553357339636757,0.19868373563327407,0.0,4.8735318485306304e-05,0.006775396868053727,0.00818100349304462,0.006843672176882646,0.008808583697349968,2024-04-01 21:46
1,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,2,0.1974810607295524,0.5973278008298755,0.5970920595113102,0.5973278008298755,0.5967185283525358,0.5985748448497875,0.5985489437519956,0.5985748448497875,0.5979277115600192,0.9883485477178423,0.9883700418213112,0.9883485477178423,0.9883492554464902,0.9875202106751092,0.9875383887936771,0.9875202106751092,0.9875209109357572,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.99249377593361,0.9925005914005499,0.99249377593361,0.9924934224181,0.9899309690474116,0.9899363968644717,0.9899309690474116,0.9899305393256707,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.6666058091286307,0.6675696921426179,0.6666058091286307,0.6652980603136999,0.6636362756203588,0.664856086224037,0.6636362756203588,0.6624064883240941,0.0,4.8735318485306304e-05,0.0024202229467755916,0.003780948498325663,0.0024202229467755916,0.003780948498325663,0.0,0.0,0.009020507841745795,0.009369588223975378,0.002132700886361416,0.0019479266884740998,0.19647565960648933,0.1998518078673276,0.18605000297598806,0.189375450585809,0.1926040851812802,0.19570484057314763,0.0,4.8735318485306304e-05,0.009020507841745795,0.009369588223975378,0.002132700886361416,0.0019479266884740998,2024-04-01 21:46
2,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,4,0.1974810607295524,0.5898215767634855,0.5897214785921268,0.5898215767634855,0.5883351654857012,0.5906938917772808,0.591004365523827,0.5906938917772808,0.5891234633267664,0.9641203319502075,0.9644606488399089,0.9641203319502075,0.9641246263276773,0.9627155401938289,0.9630253563371876,0.9627155401938289,0.962720043524737,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.9750497925311203,0.9750533117910601,0.9750497925311203,0.9750503727933303,0.9731912050887334,0.9731943703948917,0.9731912050887334,0.9731917816190099,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.6570165975103734,0.6569096169876746,0.6570165975103734,0.6568722540014996,0.6580595815543099,0.6580229395095091,0.6580595815543099,0.6579067656454213,0.0,4.8735318485306304e-05,0.03132944186250965,0.0306545158156112,0.03132944186250965,0.0306545158156112,0.0,0.0,0.046261547449587104,0.04637994876852036,0.01857634662185015,0.018322433615547418,0.19647565960648933,0.1998518078673276,0.14837213454867015,0.15053623128014537,0.17157633834433034,0.17435815643793812,0.0,4.8735318485306304e-05,0.046261547449587104,0.04637994876852036,0.01857634662185015,0.018322433615547418,2024-04-01 21:46
3,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,8,0.1974810607295524,0.5616804979253112,0.5683792408621163,0.5616804979253112,0.5562356965028119,0.5622682428572812,0.5680456265111377,0.5622682428572812,0.5566439362432691,0.9014730290456432,0.9032089490426979,0.9014730290456432,0.9014442309543108,0.9010427256092248,0.9027200459407264,0.9010427256092248,0.9010157205121284,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.903149377593361,0.9062329386242388,0.903149377593361,0.9030669976609553,0.9019624928597016,0.9050337624825306,0.9019624928597016,0.9018790067848974,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.5662406639004149,0.5732075930656472,0.5662406639004149,0.5608488177375881,0.5661022200276898,0.5720244323484192,0.5661022200276898,0.5606142775545394,0.0,4.8735318485306304e-05,0.19366728103172842,0.1969330498567366,0.19366728103172842,0.1969330498567366,0.0,0.0,0.13345808702660755,0.13660184361169914,0.13667851881893545,0.1398134440542621,0.19647565960648933,0.1998518078673276,0.060457728215767614,0.061600079936253105,0.06512883371029188,0.06579964251618042,0.0,4.8735318485306304e-05,0.13345808702660755,0.13660184361169914,0.13667851881893545,0.1398134440542621,2024-04-01 21:46
4,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,4.0,0.1974810607295524,0.512,0.262144,0.512,0.34675132275132275,0.5084763813451838,0.2585482303858928,0.5084763813451838,0.3427938727888234,0.7399502074688796,0.7824796210865057,0.7399502074688796,0.7280994505479685,0.7397542769177147,0.7824025153965926,0.7397542769177147,0.7278651825410646,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.7889502074688797,0.7889835799237486,0.7889502074688797,0.7888748835376954,0.7867301790157523,0.7867769404896551,0.7867301790157523,0.7866454433824103,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.5556763485477179,0.55517367921877,0.5556763485477179,0.5545284005714808,0.551511806906968,0.5512337586502948,0.551511806906968,0.5503979350856657,0.0,4.8735318485306304e-05,0.2308841778687816,0.22590895335635824,0.2308841778687816,0.22590895335635824,0.0,0.0,0.06548004408714692,0.06694244876852029,0.1381700795898677,0.13863905257841058,0.19647565960648933,0.1998518078673276,0.010194353275287393,0.013885471232547242,0.0021112243639889172,0.005589622744967659,0.0,4.8735318485306304e-05,0.10634589177375975,0.10056049192565658,0.1381700795898677,0.13863905257841058,2024-04-01 21:46
5,,Gender_Pay_Gap,0,0,Demographic Parity,241000,103287,6.0,0.1974810607295524,0.5641825726141079,0.56779653626489,0.5641825726141079,0.5509967260452149,0.5659763571407824,0.5711967161422637,0.5659763571407824,0.5528328733663216,0.8977136929460581,0.8984134914816466,0.8977136929460581,0.897719005719861,0.8971797031572221,0.8978523411192194,0.8971797031572221,0.8971855676896084,1.0,1.0,1.0,1.0,0.9999903182394687,0.9999903184228734,0.9999903182394687,0.9999903182373895,0.9151037344398341,0.9155503881559861,0.9151037344398341,0.9151127481292868,0.9139969212001511,0.9144475329855393,0.9139969212001511,0.9140058885591599,0.7748298755186722,0.7748857422639376,0.7748298755186722,0.7748469543931861,0.7766805115842265,0.7766888816751356,0.7766805115842265,0.7766839685362332,0.6064107883817428,0.6065596061144036,0.6064107883817428,0.6048909670785221,0.6063299350353868,0.6068262221770022,0.6063299350353868,0.6048609617989927,0.0,4.8735318485306304e-05,0.14631154189492399,0.1476581932178381,0.14631154189492399,0.1476581932178381,0.0,0.0,0.1256002210756887,0.12953413026746208,0.08646866694685829,0.08831741269001347,0.19647565960648933,0.1998518078673276,0.05314251050098634,0.054944251052402304,0.09271889986225429,0.09446372819904886,0.0,4.8735318485306304e-05,0.1256002210756887,0.12953413026746208,0.08646866694685829,0.08831741269001347,2024-04-01 21:46
6,,Gender_Pay_Gap,1,0,Demographic Parity,235646,100992,1,0.1971113286269846,0.601143240284155,0.601112802909872,0.601143240284155,0.6006651639631077,0.5978196292775665,0.5975901256318368,0.5978196292775665,0.5973843681118345,0.9862929988202643,0.986339863687705,0.9862929988202643,0.9862926934878781,0.9852265525982256,0.985277097800306,0.9852265525982256,0.9852261026427626,0.9999957563463839,0.9999957563823878,0.9999957563463839,0.9999957563463773,1.0,1.0,1.0,1.0,0.990405099174185,0.9904127238667999,0.990405099174185,0.9904050549023756,0.9885040399239544,0.9885155873020824,0.9885040399239544,0.9885039960167702,0.7727778107839726,0.773003043966871,0.7727778107839726,0.7727880649165767,0.7737345532319392,0.7740225825588944,0.7737345532319392,0.7737658455949973,0.6457355524812642,0.6460214513334833,0.6457355524812642,0.6457395003262119,0.6452788339670469,0.6458086032623089,0.6452788339670469,0.6453089772518458,2.081382037673015e-05,0.0,0.009931063180061279,0.010692130655947846,0.009931063180061279,0.010692130655947846,0.0,0.0,0.006159037950294155,0.007225627570229043,0.0030056573111235663,0.0025962237006784683,0.1995698576483631,0.19140845686940178,0.19944126489031822,0.19156974175714714,0.20051081917954927,0.19218589881122133,2.081382037673015e-05,0.0,0.006159037950294155,0.007225627570229043,0.0069254058689377125,0.008095906955269377,2024-04-02 00:08
7,,Gender_Pay_Gap,1,0,Demographic Parity,235646,100992,2,0.1971113286269846,0.5961654345925668,0.5961483224363301,0.5961654345925668,0.5955838641795304,0.5924429657794676,0.5921929189502926,0.5924429657794676,0.5919100505317013,0.9909397995298032,0.9909481047110048,0.9909397995298032,0.9909397543444105,0.9898110741444867,0.9898219047754405,0.9898110741444867,0.9898110383941018,0.9999957563463839,0.9999957563823878,0.9999957563463839,0.9999957563463773,1.0,1.0,1.0,1.0,0.9924335656026413,0.9924393745138641,0.9924335656026413,0.9924335385063704,0.9905438054499366,0.9905517657606603,0.9905438054499366,0.9905437834295502,0.7727778107839726,0.773003043966871,0.7727778107839726,0.7727880649165767,0.7737345532319392,0.7740225825588944,0.7737345532319392,0.7737658455949973,0.6566969097714368,0.6591943686019848,0.6566969097714368,0.6559500439588656,0.6553489385297845,0.6583292429279098,0.6553489385297845,0.6546861307633922,2.081382037673015e-05,0.0,0.0030572337378743063,0.004040232386880185,0.0030572337378743063,0.004040232386880185,0.0,0.0,0.0038022306877579792,0.005272673188162824,0.0022228990556272255,0.004038277852507877,0.1995698576483631,0.19140845686940178,0.19369975801429629,0.18402604749995338,0.19588350525867304,0.18586483271641818,2.081382037673015e-05,0.0,0.0038022306877579792,0.005272673188162824,0.0022228990556272255,0.004038277852507877,2024-04-02 00:08
8,,Gender_Pay_Gap,1,0,Demographic Parity,235646,100992,4,0.1971113286269846,0.5061999779330012,0.5539956765300652,0.5061999779330012,0.39188864740976254,0.5032972908745247,0.5556243653920909,0.5032972908745247,0.38992843822078993,0.9663817760539114,0.9664486200878781,0.9663817760539114,0.9663804954386226,0.966274556400507,0.9663461235460945,0.966274556400507,0.96627344629843,0.9999957563463839,0.9999957563823878,0.9999957563463839,0.9999957563463773,1.0,1.0,1.0,1.0,0.9737742206530134,0.9737764018377428,0.9737742206530134,0.9737741798660103,0.9724037547528517,0.9724057681930441,0.9724037547528517,0.9724037500152101,0.7727778107839726,0.773003043966871,0.7727778107839726,0.7727880649165767,0.7737345532319392,0.7740225825588944,0.7737345532319392,0.7737658455949973,0.6354149868871103,0.6371600041236332,0.6354149868871103,0.6333626087202406,0.6346542300380228,0.6358363914984386,0.6346542300380228,0.6325395538562907,2.081382037673015e-05,0.0,0.041368338099300205,0.04477591234443276,0.041368338099300205,0.04477591234443276,0.0,0.0,0.032512482420480215,0.032582291196342705,0.021531612200548,0.022837461228006117,0.1995698576483631,0.19140845686940178,0.15441705868788835,0.14582158376787302,0.16923830421991082,0.15928073984389746,2.081382037673015e-05,0.0,0.03356380979409562,0.035231047635096394,0.021531612200548,0.022837461228006117,2024-04-02 00:08
9,,Gender_Pay_Gap,0,1,Demographic Parity,235726,101026,1,0.19509906399961985,0.5958697810169434,0.5960507622261649,0.5958697810169434,0.5957286305342225,0.5996773107912815,0.5997256019781352,0.5996773107912815,0.5995357224290063,0.9840874574718105,0.9841549114130809,0.9840874574718105,0.9840882830644155,0.9835883831884862,0.9836666250429666,0.9835883831884862,0.9835894961444184,0.9999915155731655,0.9999915157150407,0.9999915155731655,0.9999915155721024,1.0,1.0,1.0,1.0,0.9874006261507003,0.9874043733068931,0.9874006261507003,0.9874003222802246,0.9859442123809712,0.9859460683926781,0.9859442123809712,0.9859439281699469,0.7761935467449497,0.7763940655678518,0.7761935467449497,0.7761442480662936,0.7755132342169343,0.7758277519468162,0.7755132342169343,0.7754726777027783,0.674872521486811,0.6749844469013543,0.674872521486811,0.674803507522297,0.6723120780789104,0.6725929131483243,0.6723120780789104,0.6722324638162367,4.2971016049674494e-05,0.0,0.006397558113058966,0.007419868279048593,0.006397558113058966,0.007419868279048593,0.0,0.0,0.003875147611794527,0.004287984413574697,0.0008875598858905098,0.001576691611252845,0.19351757505842465,0.19882392966596224,0.1909576301097437,0.1964269032273881,0.19165688073190668,0.1967546937020236,4.2971016049674494e-05,0.0,0.003875147611794527,0.004287984413574697,0.005509998227168456,0.005843176667795748,2024-04-02 01:23
