,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
0,2024-04-10 19:06,Gender_Pay_Gap,0,0,Demographic Parity,700,300,1,0.07480130902290782,0.71,0.5041,0.71,0.5895906432748538,0.6433333333333333,0.41387777777777773,0.6433333333333333,0.5037052062204191,0.71,0.5041,0.71,0.5895906432748538,0.6766666666666666,0.4578777777777777,0.6766666666666666,0.5461762756792578,0.8285714285714286,0.8356475320821671,0.8285714285714286,0.8107189358482597,0.6833333333333333,0.6517361111111112,0.6833333333333333,0.6468788682581786,0.9414285714285714,0.9427566539923955,0.9414285714285714,0.9400060154898865,0.62,0.5834291072265756,0.62,0.5943068181818183,0.7842857142857143,0.8026825396825398,0.7842857142857143,0.7444684094373536,0.6966666666666667,0.7225297619047618,0.6966666666666667,0.6336806053365194,0.7628571428571429,0.8091617010252045,0.7628571428571429,0.7007499007317489,0.6433333333333333,0.5995083932853718,0.6433333333333333,0.5580101713326421,0.05606135040943239,0.05760037064384893,0.026040057979614728,0.07070176200610989,0.026040057979614728,0.07070176200610989,0.011833957959915264,0.008249721293199563,0.0,0.0,0.013748574221932541,0.026978818283166173,0.047249011309234756,0.027311026100431013,0.0,0.0,0.05925206410879069,0.036753668103239545,0.04422739244951712,0.04935064935064937,0.0,0.0,0.013748574221932541,0.04372294372294372
1,2024-04-10 19:06,Gender_Pay_Gap,0,0,Demographic Parity,700,300,0.25,0.07480130902290782,0.71,0.5041,0.71,0.5895906432748538,0.6433333333333333,0.41387777777777773,0.6433333333333333,0.5037052062204191,0.71,0.5041,0.71,0.5895906432748538,0.6766666666666666,0.4578777777777777,0.6766666666666666,0.5461762756792578,0.8285714285714286,0.8356475320821671,0.8285714285714286,0.8107189358482597,0.6833333333333333,0.6517361111111112,0.6833333333333333,0.6468788682581786,0.9285714285714286,0.9335433015448499,0.9285714285714286,0.9255876068376069,0.68,0.6565368248772504,0.68,0.6600845594452901,0.7842857142857143,0.8026825396825398,0.7842857142857143,0.7444684094373536,0.6966666666666667,0.7225297619047618,0.6966666666666667,0.6336806053365194,0.7814285714285715,0.8278798670465336,0.7814285714285715,0.7311266375545851,0.66,0.6705816135084428,0.66,0.5601250000000001,0.05606135040943239,0.05760037064384893,0.07492965350856925,0.331317957404914,0.07492965350856925,0.331317957404914,0.011833957959915264,0.008249721293199563,0.0,0.0,0.004582858073977514,0.1754738015607581,0.047249011309234756,0.027311026100431013,0.0,0.0,0.02407548740720189,0.18618953077332823,0.04422739244951712,0.04935064935064937,0.0,0.0,0.07034679543459174,0.1754738015607581
2,2024-04-10 19:07,Gender_Pay_Gap,1,0,Demographic Parity,420,180,1,0.12687198368078018,0.6571428571428571,0.7752563226247436,0.6571428571428571,0.5260204878701988,0.6944444444444444,0.7883302296710117,0.6944444444444444,0.5747592303089959,0.49047619047619045,0.24056689342403628,0.49047619047619045,0.3228054160961509,0.5222222222222223,0.27271604938271604,0.5222222222222223,0.3583130575831306,0.8595238095238096,0.8596354090741719,0.8595238095238096,0.8595357564712631,0.7611111111111111,0.7663409652355124,0.7611111111111111,0.7608677307482531,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.7611111111111111,0.764795321637427,0.7611111111111111,0.7610447510382694,0.8357142857142857,0.8546393684324719,0.8357142857142857,0.8228983946740308,0.7611111111111111,0.7501915708812261,0.7611111111111111,0.742871667778731,0.8214285714285714,0.8389489527154145,0.8214285714285714,0.8067941910306443,0.7444444444444445,0.7323099415204679,0.7444444444444445,0.7148148148148148,0.08404340414371883,0.14367816091954028,0.031104609231576135,0.24634273772204815,0.031104609231576135,0.24634273772204815,0.060833333333333295,0.08333333333333337,0.0,0.0,0.011041666666666616,0.06818181818181823,0.11913808619138083,0.16013824884792632,0.0,0.0,0.10908909109089093,0.22177419354838712,0.060833333333333295,0.08333333333333337,0.0,0.0,0.02006294256490952,0.17816091954022992
3,2024-04-10 19:07,Gender_Pay_Gap,1,0,Demographic Parity,420,180,0.25,0.12687198368078018,0.6523809523809524,0.42560090702947845,0.6523809523809524,0.5151365445313573,0.6888888888888889,0.4745679012345679,0.6888888888888889,0.5619883040935673,0.49047619047619045,0.24056689342403628,0.49047619047619045,0.3228054160961509,0.5222222222222223,0.27271604938271604,0.5222222222222223,0.3583130575831306,0.8595238095238096,0.8596354090741719,0.8595238095238096,0.8595357564712631,0.7611111111111111,0.7663409652355124,0.7611111111111111,0.7608677307482531,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.7666666666666667,0.7748333333333334,0.7666666666666667,0.7660610554937585,0.8357142857142857,0.8546393684324719,0.8357142857142857,0.8228983946740308,0.7611111111111111,0.7501915708812261,0.7611111111111111,0.742871667778731,0.8285714285714286,0.8389467991869768,0.8285714285714286,0.8174285714285715,0.7611111111111111,0.7497595497595497,0.7611111111111111,0.7452082746029829,0.08404340414371883,0.14367816091954028,0.026485215053763465,0.20442354580285615,0.026485215053763465,0.20442354580285615,0.060833333333333295,0.08333333333333337,0.0,0.0,0.002291666666666692,0.08181818181818179,0.11913808619138083,0.16013824884792632,0.0,0.0,0.11958804119588046,0.13248847926267282,0.060833333333333295,0.08333333333333337,0.0,0.0,0.024193548387096774,0.12260536398467436
4,2024-04-10 19:07,Gender_Pay_Gap,0,1,Demographic Parity,434,186,1,0.09999999999999998,0.5092165898617511,0.2593015353904308,0.5092165898617511,0.34362401941815873,0.478494623655914,0.22895710486761475,0.478494623655914,0.3097165200391007,0.30184331797235026,0.09110938860455735,0.30184331797235026,0.13996982178540843,0.3010752688172043,0.09064631749335182,0.3010752688172043,0.1393406202790367,0.8940092165898618,0.9010275191336586,0.8940092165898618,0.8881459842001316,0.7473118279569892,0.7307982624795272,0.7473118279569892,0.7275975851340332,0.9953917050691244,0.99542192339654,0.9953917050691244,0.9953815602903038,0.7903225806451613,0.7832344968225832,0.7903225806451613,0.7846695315146864,0.8663594470046083,0.8673489418869537,0.8663594470046083,0.8661888021051696,0.7473118279569892,0.7479031753717041,0.7473118279569892,0.7465398906242228,0.847926267281106,0.8496255199001373,0.847926267281106,0.8476152846771863,0.6935483870967742,0.6937126642771805,0.6935483870967742,0.6936104810930784,0.014533489381274245,0.303088619624614,0.0035427491733585267,0.1900768195137404,0.0035427491733585267,0.1900768195137404,0.0020157756354074463,0.003088619624613931,0.0,0.0,0.0,0.001187930624851452,0.05861109340811077,0.12382717479439365,0.0,0.0,0.08010961697788543,0.11826711456040773,0.012517713745866799,0.30000000000000004,0.0,0.0,0.0035427491733585267,0.18888888888888894
5,2024-04-10 19:07,Gender_Pay_Gap,0,1,Demographic Parity,434,186,0.25,0.09999999999999998,0.5092165898617511,0.2593015353904308,0.5092165898617511,0.34362401941815873,0.478494623655914,0.22895710486761475,0.478494623655914,0.3097165200391007,0.30184331797235026,0.09110938860455735,0.30184331797235026,0.13996982178540843,0.3010752688172043,0.09064631749335182,0.3010752688172043,0.1393406202790367,0.8940092165898618,0.9010275191336586,0.8940092165898618,0.8881459842001316,0.7473118279569892,0.7307982624795272,0.7473118279569892,0.7275975851340332,0.988479262672811,0.9886662876294213,0.988479262672811,0.988414332103326,0.7903225806451613,0.7832344968225832,0.7903225806451613,0.7846695315146864,0.8663594470046083,0.8673489418869537,0.8663594470046083,0.8661888021051696,0.7473118279569892,0.7479031753717041,0.7473118279569892,0.7465398906242228,0.8571428571428571,0.8580945670177622,0.8571428571428571,0.8569604436296641,0.7150537634408602,0.7158982552241834,0.7150537634408602,0.7137829798050556,0.014533489381274245,0.303088619624614,0.08620689655172414,0.391399382276075,0.08620689655172414,0.391399382276075,0.0020157756354074463,0.003088619624613931,0.0,0.0,0.0,0.12473271560940835,0.05861109340811077,0.12382717479439365,0.0,0.0,0.10290400016994872,0.05363141434032204,0.012517713745866799,0.30000000000000004,0.0,0.0,0.08620689655172414,0.26666666666666666
6,2024-04-10 19:08,Gender_Pay_Gap,1,1,Demographic Parity,305,131,1,0.0,0.521311475409836,0.2717656543939801,0.521311475409836,0.3572781232334652,0.45038167938931295,0.2028436571295379,0.45038167938931295,0.27971072719967854,0.49836065573770494,0.24836334318731523,0.49836065573770494,0.3315134340137031,0.5038167938931297,0.2538313618087524,0.5038167938931297,0.33758282636493975,0.898360655737705,0.898778502893168,0.898360655737705,0.8983278649739815,0.7404580152671756,0.7407428506323345,0.7404580152671756,0.7404277656186052,1.0,1.0,1.0,1.0,0.6106870229007634,0.6107581985444581,0.6106870229007634,0.6106870229007635,0.8688524590163934,0.8774522977694169,0.8688524590163934,0.8675818491665916,0.5954198473282443,0.6317415231670513,0.5954198473282443,0.58640532933768,0.898360655737705,0.9009281686870626,0.898360655737705,0.8979886528101079,0.6335877862595419,0.658190683603767,0.6335877862595419,0.6305900238750362,0.09326773018900641,0.18199233716475102,0.0,0.2482758620689655,0.0,0.2482758620689655,0.009363620599965317,0.11111111111111116,0.0,0.0,0.0,0.1333333333333333,0.044240544499009216,0.08709981167608288,0.0,0.0,0.0031446540880503138,0.008474576271186418,0.0839041095890411,0.11111111111111116,0.0,0.0,0.0,0.1333333333333333
7,2024-04-10 19:08,Gender_Pay_Gap,1,1,Demographic Parity,305,131,0.25,0.0,0.521311475409836,0.2717656543939801,0.521311475409836,0.3572781232334652,0.45038167938931295,0.2028436571295379,0.45038167938931295,0.27971072719967854,0.49836065573770494,0.24836334318731523,0.49836065573770494,0.3315134340137031,0.5038167938931297,0.2538313618087524,0.5038167938931297,0.33758282636493975,0.898360655737705,0.898778502893168,0.898360655737705,0.8983278649739815,0.7404580152671756,0.7407428506323345,0.7404580152671756,0.7404277656186052,0.9967213114754099,0.9967426016606343,0.9967213114754099,0.9967212409818972,0.7175572519083969,0.7181131994782647,0.7175572519083969,0.7174584784346807,0.8688524590163934,0.8774522977694169,0.8688524590163934,0.8675818491665916,0.5954198473282443,0.6317415231670513,0.5954198473282443,0.58640532933768,0.9081967213114754,0.909123164931719,0.9081967213114754,0.9080301379836903,0.6183206106870229,0.6247151646348411,0.6183206106870229,0.6192115523054004,0.09326773018900641,0.18199233716475102,0.012658227848101222,0.2059386973180077,0.012658227848101222,0.2059386973180077,0.009363620599965317,0.11111111111111116,0.0,0.0,0.012658227848101222,0.05555555555555558,0.044240544499009216,0.08709981167608288,0.0,0.0,0.009433962264150941,0.0501412429378531,0.0839041095890411,0.11111111111111116,0.0,0.0,0.012658227848101222,0.15038314176245213
8,2024-04-10 19:08,Gender_Pay_Gap,0,0,Demographic Parity,700,300,1,0.07480130902290782,0.7071428571428572,0.5000510204081633,0.7071428571428572,0.5858338314405259,0.65,0.4225,0.65,0.5121212121212122,0.28714285714285714,0.08245102040816327,0.28714285714285714,0.12811479308704612,0.33,0.10890000000000001,0.33,0.16375939849624058,0.8328571428571429,0.8392359086491739,0.8328571428571429,0.8159365758642132,0.71,0.6951661129568106,0.71,0.6693895146711167,0.9085714285714286,0.9126762514798559,0.9085714285714286,0.9042589471597106,0.6433333333333333,0.6163209939148072,0.6433333333333333,0.622997054390065,0.78,0.796862894377393,0.78,0.7397080819021092,0.6966666666666667,0.7068518518518518,0.6966666666666667,0.6368697729988053,0.77,0.8206322297566814,0.77,0.7130652325424152,0.6466666666666666,0.5799541809851088,0.6466666666666666,0.5327918561836691,0.133805785185295,0.10508286865929195,0.15658968990958474,0.2458501281341351,0.15658968990958474,0.2458501281341351,0.0383561643835616,0.08955223880597019,0.0,0.0,0.0012267429973420452,0.09701492537313428,0.04276915496427691,0.063003663003663,0.0,0.0,0.10884454299088453,0.12014652014652016,0.09544962080173341,0.08955223880597019,0.0,0.0,0.1553629469122427,0.14883520276100082
9,2024-04-10 19:08,Gender_Pay_Gap,0,0,Demographic Parity,700,300,0.25,0.07480130902290782,0.7071428571428572,0.5000510204081633,0.7071428571428572,0.5858338314405259,0.65,0.4225,0.65,0.5121212121212122,0.7128571428571429,0.5081653061224489,0.7128571428571429,0.5933539854640771,0.67,0.4489000000000001,0.67,0.5376047904191616,0.8328571428571429,0.8392359086491739,0.8328571428571429,0.8159365758642132,0.71,0.6951661129568106,0.71,0.6693895146711167,0.9271428571428572,0.9309145352755517,0.9271428571428572,0.9242842808175584,0.68,0.6543441873549476,0.68,0.6539733088951257,0.78,0.796862894377393,0.78,0.7397080819021092,0.6966666666666667,0.7068518518518518,0.6966666666666667,0.6368697729988053,0.7642857142857142,0.7926968864468865,0.7642857142857142,0.7098978872777091,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.133805785185295,0.10508286865929195,0.06610897633413845,0.10465790117574336,0.06610897633413845,0.10465790117574336,0.0383561643835616,0.08955223880597019,0.0,0.0,0.009445921079533903,0.01492537313432829,0.04276915496427691,0.063003663003663,0.0,0.0,0.08780487804878057,0.04908424908424902,0.09544962080173341,0.08955223880597019,0.0,0.0,0.05666305525460455,0.08973252804141507
