Column1,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
10,10/04/2024 19:09,German Credit,1,0,Demographic Parity,420,180,1,0.057287622,0.680952381,0.463696145,0.680952381,0.551706462,0.672222222,0.451882716,0.672222222,0.540457733,0.488095238,0.238236961,0.488095238,0.320190476,0.527777778,0.278549383,0.527777778,0.364646465,0.892857143,0.892853901,0.892857143,0.892850457,0.772222222,0.772114749,0.772222222,0.7721446,0.99047619,0.990650141,0.99047619,0.990473164,0.827777778,0.828263889,0.827777778,0.827376327,0.864285714,0.866034239,0.864285714,0.858458138,0.761111111,0.752651597,0.761111111,0.752412076,0.842857143,0.863077198,0.842857143,0.827651621,0.727777778,0.733194444,0.727777778,0.679474551,0.132023688,0.107821776,0.00938725,0.050078944,0.00938725,0.050078944,0.019892473,0.043719212,0,0,0,0.044950739,0.141530112,0.038660877,0,0,0.097223672,0.005603026,0.112131215,0.064102564,0,0,0.00938725,0.044950739
11,10/04/2024 19:09,German Credit,1,0,Demographic Parity,420,180,0.25,0.057287622,0.680952381,0.463696145,0.680952381,0.551706462,0.672222222,0.451882716,0.672222222,0.540457733,0.488095238,0.238236961,0.488095238,0.320190476,0.527777778,0.278549383,0.527777778,0.364646465,0.892857143,0.892853901,0.892857143,0.892850457,0.772222222,0.772114749,0.772222222,0.7721446,0.964285714,0.964368439,0.964285714,0.964277811,0.738888889,0.744254299,0.738888889,0.738800237,0.864285714,0.866034239,0.864285714,0.858458138,0.761111111,0.752651597,0.761111111,0.752412076,0.828571429,0.844238623,0.828571429,0.811983586,0.755555556,0.771728361,0.755555556,0.717724357,0.132023688,0.107821776,0.031477513,0.205434508,0.031477513,0.205434508,0.019892473,0.043719212,0,0,0.015591398,0.164408867,0.141530112,0.038660877,0,0,0.071808788,0.114301723,0.112131215,0.064102564,0,0,0.015886115,0.164408867
12,10/04/2024 19:09,German Credit,0,1,Demographic Parity,434,186,1,0.112903226,0.523041475,0.273572384,0.523041475,0.359244825,0.446236559,0.199127067,0.446236559,0.275372747,0.331797235,0.110089405,0.331797235,0.165324574,0.327956989,0.107555787,0.327956989,0.161986853,0.880184332,0.884171722,0.880184332,0.875482545,0.758064516,0.753633463,0.758064516,0.755266871,0.963133641,0.963996482,0.963133641,0.962705843,0.774193548,0.778426266,0.774193548,0.775941953,0.824884793,0.825356459,0.824884793,0.824962969,0.672043011,0.67167862,0.672043011,0.671841368,0.838709677,0.838961967,0.838709677,0.838764556,0.698924731,0.71527576,0.698924731,0.698924731,0.206004667,0.431385281,0.013785325,0.322467532,0.013785325,0.322467532,0.032380952,0.066666667,0,0,0.00047619,0.04,0.105897125,0.130775529,0,0,0.101215178,0.130424611,0.173623714,0.364718615,0,0,0.013309135,0.282467532
13,10/04/2024 19:09,German Credit,0,1,Demographic Parity,434,186,0.25,0.112903226,0.523041475,0.273572384,0.523041475,0.359244825,0.446236559,0.199127067,0.446236559,0.275372747,0.668202765,0.446494935,0.668202765,0.535300558,0.672043011,0.451641808,0.672043011,0.540227501,0.880184332,0.884171722,0.880184332,0.875482545,0.758064516,0.753633463,0.758064516,0.755266871,0.997695853,0.997703771,0.997695853,0.997693821,0.790322581,0.786711273,0.790322581,0.787897955,0.824884793,0.825356459,0.824884793,0.824962969,0.672043011,0.67167862,0.672043011,0.671841368,0.910138249,0.910451578,0.910138249,0.910174073,0.720430108,0.724649092,0.720430108,0.721209125,0.206004667,0.431385281,0.011494253,0.152207792,0.011494253,0.152207792,0.032380952,0.066666667,0,0,0,0.026666667,0.105897125,0.130775529,0,0,0.103492307,0.087261668,0.173623714,0.364718615,0,0,0.011494253,0.125541126
14,10/04/2024 19:10,German Credit,1,1,Demographic Parity,305,131,1,0,0.527868852,0.278645525,0.527868852,0.36475058,0.435114504,0.189324631,0.435114504,0.263846029,0.524590164,0.27519484,0.524590164,0.361008285,0.442748092,0.196025873,0.442748092,0.271739569,0.908196721,0.909092463,0.908196721,0.908014099,0.786259542,0.796683559,0.786259542,0.786883201,1,1,1,1,0.755725191,0.789332181,0.755725191,0.754299684,0.881967213,0.881946532,0.881967213,0.88191881,0.694656489,0.712142064,0.694656489,0.695404181,0.901639344,0.901636511,0.901639344,0.901599008,0.694656489,0.708489021,0.694656489,0.695725618,0.184691799,0.236477904,0,0.171551902,0,0.171551902,0.054764513,0.072115385,0,0,0,0.117788462,0.048438578,0.137031769,0,0,0.019194272,0.095068753,0.129927287,0.164362519,0,0,0,0.117788462
15,10/04/2024 19:10,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.527868852,0.278645525,0.527868852,0.36475058,0.435114504,0.189324631,0.435114504,0.263846029,0.475409836,0.226014512,0.475409836,0.306375228,0.557251908,0.310529689,0.557251908,0.398817542,0.908196721,0.909092463,0.908196721,0.908014099,0.786259542,0.796683559,0.786259542,0.786883201,1,1,1,1,0.786259542,0.800418328,0.786259542,0.786708158,0.881967213,0.881946532,0.881967213,0.88191881,0.694656489,0.712142064,0.694656489,0.695404181,0.908196721,0.908196721,0.908196721,0.908196721,0.603053435,0.610882756,0.603053435,0.604726746,0.184691799,0.236477904,0,0.138994742,0,0.138994742,0.054764513,0.072115385,0,0,0,0.110576923,0.048438578,0.137031769,0,0,0.019194272,0.078947368,0.129927287,0.164362519,0,0,0,0.110576923
16,10/04/2024 19:10,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.688571429,0.474130612,0.688571429,0.561576021,0.693333333,0.480711111,0.693333333,0.567769029,0.695714286,0.484018367,0.695714286,0.570872548,0.71,0.5041,0.71,0.589590643,0.83,0.834592443,0.83,0.816106037,0.693333333,0.658294354,0.693333333,0.665281385,0.862857143,0.87372028,0.862857143,0.85220714,0.7,0.657980977,0.7,0.660712394,0.787142857,0.796352219,0.787142857,0.760357416,0.72,0.695821336,0.72,0.682782653,0.744285714,0.784179441,0.744285714,0.682428776,0.68,0.598380282,0.68,0.592122855,0.070651689,0.215432813,0.015464604,0.153238866,0.015464604,0.153238866,0.006681244,0.131916329,0,0,0.003603822,0.122469636,0.050059005,0.131061873,0,0,0.030511249,0.085075251,0.063970445,0.131916329,0,0,0.011860782,0.122469636
17,10/04/2024 19:10,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.688571429,0.474130612,0.688571429,0.561576021,0.693333333,0.480711111,0.693333333,0.567769029,0.304285714,0.092589796,0.304285714,0.141977781,0.29,0.0841,0.29,0.130387597,0.83,0.834592443,0.83,0.816106037,0.693333333,0.658294354,0.693333333,0.665281385,0.9,0.90652264,0.9,0.894929643,0.673333333,0.637632653,0.673333333,0.647937758,0.787142857,0.796352219,0.787142857,0.760357416,0.72,0.695821336,0.72,0.682782653,0.738571429,0.795479488,0.738571429,0.667999749,0.7,0.664935065,0.7,0.613306852,0.070651689,0.215432813,0.016947954,0.16437247,0.016947954,0.16437247,0.006681244,0.131916329,0,0,0.012086978,0.075910931,0.050059005,0.131061873,0,0,0.044824698,0.033444816,0.063970445,0.131916329,0,0,0.012086978,0.088461538
18,10/04/2024 19:11,German Credit,1,0,Demographic Parity,420,180,1,0.088304553,0.647619048,0.419410431,0.647619048,0.509110928,0.666666667,0.444444444,0.666666667,0.533333333,0.471428571,0.222244898,0.471428571,0.302080444,0.566666667,0.321111111,0.566666667,0.409929078,0.854761905,0.855307101,0.854761905,0.8544427,0.738888889,0.740329218,0.738888889,0.739403611,0.985714286,0.985714286,0.985714286,0.985714286,0.794444444,0.798369453,0.794444444,0.795206212,0.838095238,0.850705467,0.838095238,0.827906051,0.727777778,0.72258533,0.727777778,0.692602417,0.819047619,0.858565955,0.819047619,0.798882838,0.683333333,0.655884996,0.683333333,0.629231382,0.171941883,0.106944444,0.025136799,0.063888889,0.025136799,0.063888889,0.064041746,0.077777778,0,0,0.022058824,0.022222222,0.144972178,0.075,0,0,0.070647854,0.066666667,0.107900137,0.077777778,0,0,0.022058824,0.041666667
19,10/04/2024 19:11,German Credit,1,0,Demographic Parity,420,180,0.25,0.088304553,0.647619048,0.419410431,0.647619048,0.509110928,0.666666667,0.444444444,0.666666667,0.533333333,0.528571429,0.279387755,0.528571429,0.365554072,0.433333333,0.187777778,0.433333333,0.262015504,0.854761905,0.855307101,0.854761905,0.8544427,0.738888889,0.740329218,0.738888889,0.739403611,0.992857143,0.992870298,0.992857143,0.992858077,0.788888889,0.793682995,0.788888889,0.78972955,0.838095238,0.850705467,0.838095238,0.827906051,0.727777778,0.72258533,0.727777778,0.692602417,0.864285714,0.873711262,0.864285714,0.857723478,0.661111111,0.624495699,0.661111111,0.62147408,0.171941883,0.106944444,0.011627907,0.147222222,0.011627907,0.147222222,0.064041746,0.077777778,0,0,0.007352941,0.105555556,0.144972178,0.075,0,0,0.074324324,0.133333333,0.107900137,0.077777778,0,0,0.007352941,0.105555556
