Column1,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
55,10/04/2024 19:21,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.537704918,0.56187541,0.537704918,0.485025412,0.442748092,0.404955071,0.442748092,0.377384907,0.508196721,0.258263908,0.508196721,0.342480399,0.480916031,0.231280228,0.480916031,0.312347525,0.901639344,0.901729573,0.901639344,0.901645689,0.877862595,0.880653253,0.877862595,0.877389528,0.996721311,0.996743025,0.996721311,0.996721452,0.748091603,0.751970967,0.748091603,0.747886047,0.885245902,0.885672741,0.885245902,0.885221226,0.641221374,0.641839587,0.641221374,0.640592857,0.918032787,0.918927527,0.918032787,0.917995765,0.679389313,0.68517267,0.679389313,0.676445853,0.026365687,0.054253856,0.012195122,0.133682091,0.012195122,0.133682091,0.0125,0.00795756,0,0,0,0.031830239,0.049191606,0.082983683,0,0,0.055770554,0.008158508,0.013865687,0.046296296,0,0,0.012195122,0.101851852
56,10/04/2024 19:21,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.708571429,0.502073469,0.708571429,0.587711419,0.646666667,0.418177778,0.646666667,0.507908232,0.687142857,0.472165306,0.687142857,0.559721785,0.73,0.5329,0.73,0.616069364,0.824285714,0.835891631,0.824285714,0.807341442,0.74,0.718895387,0.74,0.724144551,0.882857143,0.891624714,0.882857143,0.875959516,0.676666667,0.63492,0.676666667,0.649095526,0.797142857,0.805982826,0.797142857,0.768268074,0.693333333,0.69673006,0.693333333,0.63847619,0.748571429,0.79022737,0.748571429,0.677167445,0.643333333,0.581275034,0.643333333,0.533608678,0.079884015,0.073890194,0.015682405,0.143456319,0.015682405,0.143456319,0.00543957,0.00255102,0,0,0.009293517,0.085884354,0.0653463,0.0417234,0,0,0.041469007,0.048628671,0.074444444,0.071339174,0,0,0.009293517,0.085884354
57,10/04/2024 19:21,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.708571429,0.502073469,0.708571429,0.587711419,0.646666667,0.418177778,0.646666667,0.507908232,0.687142857,0.472165306,0.687142857,0.559721785,0.73,0.5329,0.73,0.616069364,0.824285714,0.835891631,0.824285714,0.807341442,0.74,0.718895387,0.74,0.724144551,0.835714286,0.852376847,0.835714286,0.819390266,0.68,0.637538011,0.68,0.651509002,0.797142857,0.805982826,0.797142857,0.768268074,0.693333333,0.69673006,0.693333333,0.63847619,0.735714286,0.766258638,0.735714286,0.65446991,0.65,0.613856875,0.65,0.547071053,0.079884015,0.073890194,0.087699671,0.10887582,0.087699671,0.10887582,0.00543957,0.00255102,0,0,0.019644116,0.051303855,0.0653463,0.0417234,0,0,0.027870019,0.024606108,0.074444444,0.071339174,0,0,0.068055556,0.057571965
58,10/04/2024 19:22,German Credit,1,0,Demographic Parity,420,180,1,0.083599835,0.692857143,0.48005102,0.692857143,0.567148885,0.722222222,0.521604938,0.722222222,0.605734767,0.516666667,0.266944444,0.516666667,0.352014652,0.461111111,0.212623457,0.461111111,0.291043515,0.892857143,0.893164913,0.892857143,0.892884488,0.766666667,0.767203302,0.766666667,0.766840278,0.992857143,0.992869463,0.992857143,0.99285767,0.722222222,0.731013401,0.722222222,0.722222222,0.866666667,0.87855348,0.866666667,0.856507937,0.783333333,0.775731561,0.783333333,0.753456478,0.807142857,0.844050193,0.807142857,0.776109742,0.755555556,0.754298942,0.755555556,0.696230545,0.024820089,0.240452712,0.020851064,0.127436173,0.020851064,0.127436173,0.019874214,0.110509209,0,0,0.006666667,0.022210184,0.088228243,0.010769231,0,0,0.10804763,0.026153846,0.019874214,0.129943503,0,0,0.014184397,0.105225989
59,10/04/2024 19:22,German Credit,1,0,Demographic Parity,420,180,0.25,0.083599835,0.692857143,0.48005102,0.692857143,0.567148885,0.722222222,0.521604938,0.722222222,0.605734767,0.516666667,0.266944444,0.516666667,0.352014652,0.461111111,0.212623457,0.461111111,0.291043515,0.892857143,0.893164913,0.892857143,0.892884488,0.766666667,0.767203302,0.766666667,0.766840278,0.992857143,0.9928672,0.992857143,0.992856535,0.788888889,0.790190747,0.788888889,0.789150327,0.866666667,0.87855348,0.866666667,0.856507937,0.783333333,0.775731561,0.783333333,0.753456478,0.873809524,0.888392857,0.873809524,0.863916491,0.772222222,0.770700509,0.772222222,0.728954771,0.024820089,0.240452712,0.026491228,0.024445128,0.026491228,0.024445128,0.019874214,0.110509209,0,0,0.013333333,0.019501625,0.088228243,0.010769231,0,0,0.089986414,0.023076923,0.019874214,0.129943503,0,0,0.013333333,0.019501625
60,10/04/2024 19:22,German Credit,0,1,Demographic Parity,434,186,1,0.090322581,0.525345622,0.570462778,0.525345622,0.419205096,0.537634409,0.623202918,0.537634409,0.460007835,0.656682028,0.431231285,0.656682028,0.520596322,0.704301075,0.496040005,0.704301075,0.582103728,0.894009217,0.899745184,0.894009217,0.890167237,0.790322581,0.786531569,0.790322581,0.768619958,1,1,1,1,0.860215054,0.85739914,0.860215054,0.857747553,0.841013825,0.844031712,0.841013825,0.840533376,0.672043011,0.678329635,0.672043011,0.670760259,0.866359447,0.86669068,0.866359447,0.866359447,0.698924731,0.701238853,0.698924731,0.698785473,0.022972054,0.208430913,0,0.369789227,0,0.369789227,0.002819549,0.022716628,0,0,0,0.041217799,0.058028887,0.11875,0,0,0.069413764,0.209027778,0.020152505,0.185714286,0,0,0,0.328571429
61,10/04/2024 19:22,German Credit,0,1,Demographic Parity,434,186,0.25,0.090322581,0.511520737,0.520452891,0.511520737,0.402288739,0.5,0.555357937,0.5,0.388530366,0.656682028,0.431231285,0.656682028,0.520596322,0.704301075,0.496040005,0.704301075,0.582103728,0.894009217,0.899745184,0.894009217,0.890167237,0.790322581,0.786531569,0.790322581,0.768619958,0.983870968,0.984029323,0.983870968,0.983803474,0.817204301,0.813905873,0.817204301,0.815129729,0.841013825,0.844031712,0.841013825,0.840533376,0.672043011,0.678329635,0.672043011,0.670760259,0.838709677,0.838759002,0.838709677,0.838716528,0.661290323,0.661104931,0.661290323,0.661025361,0.022972054,0.208430913,0.013659557,0.273067916,0.013659557,0.273067916,0.002819549,0.022716628,0,0,0.006578947,0.030210773,0.058028887,0.11875,0,0,0.064485981,0.122222222,0.020152505,0.185714286,0,0,0.00708061,0.242857143
62,10/04/2024 19:23,German Credit,1,1,Demographic Parity,305,131,1,0,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.901639344,0.901639344,0.901639344,0.901639344,0.755725191,0.758058273,0.755725191,0.755297539,1,1,1,1,0.679389313,0.679631423,0.679389313,0.679351946,0.868852459,0.868921546,0.868852459,0.868849639,0.709923664,0.71005196,0.709923664,0.709822192,0.927868852,0.92973139,0.927868852,0.927799006,0.763358779,0.770709641,0.763358779,0.761523165,0.077382092,0.43995098,0,0.583166221,0,0.583166221,0.040498975,0.270833333,0,0,0,0.421401515,0.009846921,0.037529138,0,0,0.009846921,0.282284382,0.040498975,0.270833333,0,0,0,0.421401515
63,10/04/2024 19:23,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.901639344,0.901639344,0.901639344,0.901639344,0.755725191,0.758058273,0.755725191,0.755297539,1,1,1,1,0.763358779,0.768668628,0.763358779,0.76236222,0.868852459,0.868921546,0.868852459,0.868849639,0.709923664,0.71005196,0.709923664,0.709822192,0.898360656,0.898521417,0.898360656,0.8983541,0.801526718,0.801526718,0.801526718,0.801526718,0.077382092,0.43995098,0,0.350824421,0,0.350824421,0.040498975,0.270833333,0,0,0,0.271780303,0.009846921,0.037529138,0,0,0.009846921,0.082983683,0.040498975,0.270833333,0,0,0,0.271780303
64,10/04/2024 19:23,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.695714286,0.484018367,0.695714286,0.570872548,0.676666667,0.457877778,0.676666667,0.546176276,0.291428571,0.084930612,0.291428571,0.131529709,0.32,0.1024,0.32,0.155151515,0.812857143,0.818641056,0.812857143,0.791368847,0.723333333,0.706005197,0.723333333,0.694728116,0.912857143,0.919545844,0.912857143,0.908357246,0.67,0.630893953,0.67,0.631153005,0.784285714,0.793220831,0.784285714,0.754220806,0.696666667,0.66999359,0.696666667,0.652236183,0.751428571,0.773427893,0.751428571,0.696777075,0.713333333,0.720224978,0.713333333,0.647041667,0.018008916,0.189886252,0.081625267,0.045599755,0.081625267,0.045599755,0.014767255,0.100997363,0,0,0.00152488,0.012266422,0.040826754,0.114417754,0,0,0.078693929,0.027474481,0.014767255,0.100997363,0,0,0.080100387,0.033333333
65,10/04/2024 19:23,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.695714286,0.484018367,0.695714286,0.570872548,0.676666667,0.457877778,0.676666667,0.546176276,0.708571429,0.502073469,0.708571429,0.587711419,0.68,0.4624,0.68,0.55047619,0.812857143,0.818641056,0.812857143,0.791368847,0.723333333,0.706005197,0.723333333,0.694728116,0.918571429,0.922863008,0.918571429,0.91511242,0.716666667,0.697379251,0.716666667,0.692915735,0.784285714,0.793220831,0.784285714,0.754220806,0.696666667,0.66999359,0.696666667,0.652236183,0.768571429,0.789021122,0.768571429,0.725437788,0.71,0.693569024,0.71,0.662436283,0.018008916,0.189886252,0.033790891,0.149638886,0.033790891,0.149638886,0.014767255,0.100997363,0,0,0.004093098,0.049638886,0.040826754,0.114417754,0,0,0.042022153,0.084861104,0.014767255,0.100997363,0,0,0.029697794,0.1
66,10/04/2024 19:24,German Credit,1,0,Demographic Parity,420,180,1,0.150761345,0.678571429,0.460459184,0.678571429,0.548632219,0.65,0.4225,0.65,0.512121212,0.492857143,0.242908163,0.492857143,0.325427204,0.516666667,0.266944444,0.516666667,0.352014652,0.880952381,0.880970748,0.880952381,0.880941579,0.766666667,0.766971231,0.766666667,0.766724308,0.969047619,0.969056153,0.969047619,0.96904639,0.705555556,0.707566386,0.705555556,0.705491939,0.85,0.86192602,0.85,0.838693667,0.744444444,0.750833514,0.744444444,0.716317389,0.816666667,0.847472518,0.816666667,0.793105762,0.733333333,0.749677419,0.733333333,0.694385027,0.080896431,0.216574922,0.018952919,0.370719583,0.018952919,0.370719583,0.016662583,0.098737084,0,0,0.005268317,0.192881745,0.140740741,0.191697192,0,0,0.133333333,0.246642247,0.064233848,0.117837838,0,0,0.013684602,0.192881745
67,10/04/2024 19:24,German Credit,1,0,Demographic Parity,420,180,0.25,0.150761345,0.678571429,0.460459184,0.678571429,0.548632219,0.65,0.4225,0.65,0.512121212,0.507142857,0.257193878,0.507142857,0.341299932,0.483333333,0.233611111,0.483333333,0.314981273,0.880952381,0.880970748,0.880952381,0.880941579,0.766666667,0.766971231,0.766666667,0.766724308,0.980952381,0.981132063,0.980952381,0.980953245,0.705555556,0.711333333,0.705555556,0.704727314,0.85,0.86192602,0.85,0.838693667,0.744444444,0.750833514,0.744444444,0.716317389,0.861904762,0.877636021,0.861904762,0.851207157,0.744444444,0.744137931,0.744444444,0.721592148,0.080896431,0.216574922,0.01913112,0.218375896,0.01913112,0.218375896,0.016662583,0.098737084,0,0,0.012987013,0.148105626,0.140740741,0.191697192,0,0,0.139961014,0.097680098,0.064233848,0.117837838,0,0,0.012987013,0.148105626
68,10/04/2024 19:25,German Credit,0,1,Demographic Parity,434,186,1,0.090322581,0.550691244,0.560942606,0.550691244,0.53096683,0.607526882,0.633467279,0.607526882,0.587482911,0.334101382,0.111623734,0.334101382,0.167339207,0.26344086,0.069401087,0.26344086,0.109860444,0.875576037,0.8802123,0.875576037,0.870406199,0.790322581,0.77618471,0.790322581,0.776817281,0.997695853,0.997703798,0.997695853,0.997693856,0.833333333,0.834460784,0.833333333,0.833869834,0.850230415,0.850237853,0.850230415,0.85022962,0.693548387,0.694109462,0.693548387,0.693326777,0.857142857,0.857628921,0.857142857,0.8570943,0.650537634,0.650694444,0.650537634,0.6504467,0.033257484,0.141218638,0.0125,0.153189964,0.0125,0.153189964,0.010180561,0.046236559,0,0,0,0.022365591,0.059907834,0.107526882,0,0,0.064516129,0.129032258,0.023076923,0.094982079,0,0,0.0125,0.130824373
69,10/04/2024 19:25,German Credit,0,1,Demographic Parity,434,186,0.25,0.090322581,0.51843318,0.53330264,0.51843318,0.457924712,0.516129032,0.534658385,0.516129032,0.441478713,0.665898618,0.443420969,0.665898618,0.532350485,0.73655914,0.542519366,0.73655914,0.624821066,0.875576037,0.8802123,0.875576037,0.870406199,0.790322581,0.77618471,0.790322581,0.776817281,0.99078341,0.990909234,0.99078341,0.990750631,0.779569892,0.794378013,0.779569892,0.785097165,0.850230415,0.850237853,0.850230415,0.85022962,0.693548387,0.694109462,0.693548387,0.693326777,0.850230415,0.852393162,0.850230415,0.850000266,0.661290323,0.662209302,0.661290323,0.660809911,0.033257484,0.141218638,0.005769231,0.254551971,0.005769231,0.254551971,0.010180561,0.046236559,0,0,0,0.068172043,0.059907834,0.107526882,0,0,0.069124424,0.064516129,0.023076923,0.094982079,0,0,0.005769231,0.186379928
70,10/04/2024 19:25,German Credit,1,1,Demographic Parity,305,131,1,0,0.521311475,0.271765654,0.521311475,0.357278123,0.450381679,0.202843657,0.450381679,0.279710727,0.485245902,0.235463585,0.485245902,0.31707017,0.534351145,0.285531146,0.534351145,0.372184877,0.845901639,0.846424693,0.845901639,0.845715596,0.702290076,0.706792895,0.702290076,0.702533006,0.993442623,0.993442623,0.993442623,0.993442623,0.694656489,0.700138111,0.694656489,0.69479884,0.872131148,0.872669259,0.872131148,0.871937877,0.557251908,0.571704835,0.557251908,0.556012875,0.878688525,0.879253492,0.878688525,0.878505166,0.564885496,0.576122037,0.564885496,0.564885496,0.064244744,0.090607442,0.026279629,0.129095717,0.026279629,0.129095717,0.05286263,0.029605263,0,0,0.014084507,0.001644737,0.032911174,0.050141243,0,0,0.011113983,0.064030132,0.05286263,0.061002179,0,0,0.014084507,0.12745098
71,10/04/2024 19:25,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.521311475,0.271765654,0.521311475,0.357278123,0.450381679,0.202843657,0.450381679,0.279710727,0.485245902,0.235463585,0.485245902,0.31707017,0.534351145,0.285531146,0.534351145,0.372184877,0.845901639,0.846424693,0.845901639,0.845715596,0.702290076,0.706792895,0.702290076,0.702533006,1,1,1,1,0.679389313,0.68477101,0.679389313,0.679538782,0.872131148,0.872669259,0.872131148,0.871937877,0.557251908,0.571704835,0.557251908,0.556012875,0.908196721,0.910449478,0.908196721,0.907898659,0.58778626,0.592270325,0.58778626,0.588798004,0.064244744,0.090607442,0,0.183544032,0,0.183544032,0.05286263,0.029605263,0,0,0,0.082236842,0.032911174,0.050141243,0,0,0.00202464,0.002354049,0.05286263,0.061002179,0,0,0,0.10130719
72,10/04/2024 19:26,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.687142857,0.472165306,0.687142857,0.559721785,0.696666667,0.485344444,0.696666667,0.572115259,0.702857143,0.494008163,0.702857143,0.58021093,0.693333333,0.480711111,0.693333333,0.567769029,0.834285714,0.836962406,0.834285714,0.821250388,0.693333333,0.65832021,0.693333333,0.657489177,0.864285714,0.875678891,0.864285714,0.853039431,0.676666667,0.627774831,0.676666667,0.629528909,0.792857143,0.808157143,0.792857143,0.765622259,0.723333333,0.699005168,0.723333333,0.686883053,0.734285714,0.785696331,0.734285714,0.66253539,0.686666667,0.614784175,0.686666667,0.602884673,0.105508247,0.059720168,0.029545908,0.073098197,0.029545908,0.073098197,0.024909457,0.059720168,0,0,0.000201207,0.029348197,0.081925972,0.030811294,0,0,0.035001282,0.028865871,0.080598791,0.059720168,0,0,0.029344701,0.04375
73,10/04/2024 19:26,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.687142857,0.472165306,0.687142857,0.559721785,0.696666667,0.485344444,0.696666667,0.572115259,0.702857143,0.494008163,0.702857143,0.58021093,0.693333333,0.480711111,0.693333333,0.567769029,0.834285714,0.836962406,0.834285714,0.821250388,0.693333333,0.65832021,0.693333333,0.657489177,0.882857143,0.894269892,0.882857143,0.874280471,0.643333333,0.575176343,0.643333333,0.591336013,0.792857143,0.808157143,0.792857143,0.765622259,0.723333333,0.699005168,0.723333333,0.686883053,0.752857143,0.775934491,0.752857143,0.703475235,0.713333333,0.685027812,0.713333333,0.654625032,0.105508247,0.059720168,0.086589153,0.064326442,0.086589153,0.064326442,0.024909457,0.059720168,0,0,0.001529175,0.008076442,0.081925972,0.030811294,0,0,0.020448267,0.013092171,0.080598791,0.059720168,0,0,0.085059978,0.05625
74,10/04/2024 19:26,German Credit,1,0,Demographic Parity,420,180,1,0.02285308,0.676190476,0.716167527,0.676190476,0.55670042,0.694444444,0.636548065,0.694444444,0.57911142,0.483333333,0.233611111,0.483333333,0.314981273,0.538888889,0.290401235,0.538888889,0.377416767,0.878571429,0.878690054,0.878571429,0.878505899,0.711111111,0.713547626,0.711111111,0.711539942,0.969047619,0.969289744,0.969047619,0.969030915,0.661111111,0.665360123,0.661111111,0.661582154,0.85952381,0.865717032,0.85952381,0.85214864,0.727777778,0.707706599,0.727777778,0.706209028,0.835714286,0.85586991,0.835714286,0.820666317,0.738888889,0.724537037,0.738888889,0.702061154,0.008262678,0.145437745,0.016893297,0.212346962,0.016893297,0.212346962,0.001119821,0.142735043,0,0,0.012131392,0.096581197,0.0379426,0.136,0,0,0.0379426,0.029090909,0.007142857,0.142735043,0,0,0.012131392,0.115765766
75,10/04/2024 19:26,German Credit,1,0,Demographic Parity,420,180,0.25,0.02285308,0.669047619,0.447624717,0.669047619,0.536383398,0.694444444,0.482253086,0.694444444,0.569216758,0.516666667,0.266944444,0.516666667,0.352014652,0.461111111,0.212623457,0.461111111,0.291043515,0.878571429,0.878690054,0.878571429,0.878505899,0.711111111,0.713547626,0.711111111,0.711539942,0.978571429,0.978659091,0.978571429,0.978565223,0.744444444,0.746856265,0.744444444,0.744823795,0.85952381,0.865717032,0.85952381,0.85214864,0.727777778,0.707706599,0.727777778,0.706209028,0.814285714,0.83976158,0.814285714,0.793320524,0.75,0.75,0.75,0.707017544,0.008262678,0.145437745,0.047467072,0.137999538,0.047467072,0.137999538,0.001119821,0.142735043,0,0,0.021276596,0.047008547,0.0379426,0.136,0,0,0.066565964,0.057454545,0.007142857,0.142735043,0,0,0.026190476,0.090990991
76,10/04/2024 19:27,German Credit,0,1,Demographic Parity,434,186,1,0.080645161,0.506912442,0.256960224,0.506912442,0.34104201,0.483870968,0.234131113,0.483870968,0.315568022,0.679723502,0.46202404,0.679723502,0.550119158,0.655913978,0.430223147,0.655913978,0.519620165,0.903225806,0.905329922,0.903225806,0.900275799,0.779569892,0.775347346,0.779569892,0.776267542,1,1,1,1,0.817204301,0.817204301,0.817204301,0.817204301,0.84562212,0.847426614,0.84562212,0.845511425,0.73655914,0.736494995,0.73655914,0.736505761,0.887096774,0.88714922,0.887096774,0.887080583,0.661290323,0.666023945,0.661290323,0.66039813,0.15204023,0.209590211,0,0.027179912,0,0.027179912,0.026206897,0.037282519,0,0,0,0.003590168,0.052718777,0.116666667,0,0,0.04184367,0.108333333,0.125833333,0.172307692,0,0,0,0.023589744
77,10/04/2024 19:27,German Credit,0,1,Demographic Parity,434,186,0.25,0.080645161,0.525345622,0.566881269,0.525345622,0.421993459,0.483870968,0.492024105,0.483870968,0.33373814,0.320276498,0.102577035,0.320276498,0.155387201,0.344086022,0.11839519,0.344086022,0.176172043,0.903225806,0.905329922,0.903225806,0.900275799,0.779569892,0.775347346,0.779569892,0.776267542,0.947004608,0.947224622,0.947004608,0.946397926,0.784946237,0.780094564,0.784946237,0.778863089,0.84562212,0.847426614,0.84562212,0.845511425,0.73655914,0.736494995,0.73655914,0.736505761,0.83640553,0.83640225,0.83640553,0.836399449,0.693548387,0.695392399,0.693548387,0.693486379,0.15204023,0.209590211,0.04637931,0.094047968,0.04637931,0.094047968,0.026206897,0.037282519,0,0,0.04137931,0.038663353,0.052718777,0.116666667,0,0,0.065590484,0.125694444,0.125833333,0.172307692,0,0,0.04137931,0.055384615
78,10/04/2024 19:27,German Credit,1,1,Demographic Parity,305,131,1,0,0.501639344,0.256614186,0.501639344,0.339537547,0.473282443,0.229359953,0.473282443,0.30898232,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.895081967,0.895081967,0.895081967,0.895081967,0.72519084,0.747756277,0.72519084,0.718287739,1,1,1,1,0.717557252,0.736957498,0.717557252,0.711153801,0.859016393,0.859046989,0.859016393,0.859022457,0.641221374,0.647611653,0.641221374,0.639838636,0.88852459,0.88919827,0.88852459,0.8885174,0.664122137,0.665517831,0.664122137,0.664200431,0.094380342,0.131340953,0,0.160231913,0,0.160231913,0.004102564,0.101518027,0,0,0,0.101518027,0.075483871,0.10270775,0,0,0.036129032,0.057422969,0.090277778,0.101518027,0,0,0,0.101518027
79,10/04/2024 19:27,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.508196721,0.258263908,0.508196721,0.342480399,0.480916031,0.231280228,0.480916031,0.312347525,0.501639344,0.251642032,0.501639344,0.335156418,0.496183206,0.246197774,0.496183206,0.329101106,0.895081967,0.895081967,0.895081967,0.895081967,0.72519084,0.747756277,0.72519084,0.718287739,1,1,1,1,0.702290076,0.712977099,0.702290076,0.698063494,0.859016393,0.859046989,0.859016393,0.859022457,0.641221374,0.647611653,0.641221374,0.639838636,0.918032787,0.919570864,0.918032787,0.918001061,0.664122137,0.664666631,0.664122137,0.664239632,0.094380342,0.131340953,0,0.393904374,0,0.393904374,0.004102564,0.101518027,0,0,0,0.19259962,0.075483871,0.10270775,0,0,0.036129032,0.029178338,0.090277778,0.101518027,0,0,0,0.201304753
80,11/04/2024 3:54,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.7,0.49,0.7,0.576470588,0.666666667,0.444444444,0.666666667,0.533333333,0.707142857,0.50005102,0.707142857,0.585833831,0.683333333,0.466944444,0.683333333,0.554785479,0.837142857,0.841800776,0.837142857,0.823014392,0.713333333,0.691343167,0.713333333,0.675456428,0.93,0.933488806,0.93,0.927502964,0.67,0.630522487,0.67,0.632738596,0.781428571,0.80524131,0.781428571,0.741927361,0.713333333,0.706441677,0.713333333,0.668172407,0.762857143,0.793944099,0.762857143,0.710312819,0.67,0.628605564,0.67,0.589485671,0.069651122,0.118315018,0.014292681,0.168498168,0.014292681,0.168498168,0.014152876,0.008791209,0,0,0.009134852,0.028021978,0.014285714,0.04,0,0,0.073469388,0.06,0.055498246,0.10952381,0,0,0.009134852,0.14047619
81,11/04/2024 3:54,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.7,0.49,0.7,0.576470588,0.666666667,0.444444444,0.666666667,0.533333333,0.707142857,0.50005102,0.707142857,0.585833831,0.683333333,0.466944444,0.683333333,0.554785479,0.837142857,0.841800776,0.837142857,0.823014392,0.713333333,0.691343167,0.713333333,0.675456428,0.904285714,0.909857143,0.904285714,0.899390024,0.65,0.594730528,0.65,0.602331667,0.781428571,0.80524131,0.781428571,0.741927361,0.713333333,0.706441677,0.713333333,0.668172407,0.755714286,0.800458015,0.755714286,0.694282045,0.653333333,0.57643814,0.653333333,0.562369599,0.069651122,0.118315018,0.097878056,0.168498168,0.097878056,0.168498168,0.014152876,0.008791209,0,0,0.013702278,0.028021978,0.014285714,0.04,0,0,0.040816327,0.03,0.055498246,0.10952381,0,0,0.084175779,0.14047619
